objectiveId,subject,yearBand,strand,subtopic,allowedModes,learningPhases
N3.3,ks3-maths,Y7,MUL,Multiply and divide integers and decimals by powers of 10,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.4,ks3-maths,Y7,MUL,Multiplication without carrying,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.5,ks3-maths,Y7,MUL,Multiplication with carrying,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.6,ks3-maths,Y7,ARE,Area of rectangles parallelograms triangles and compound shapes,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.7,ks3-maths,Y7,MUL,Short division without carrying,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.8,ks3-maths,Y7,MUL,Short division with carrying,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.9,ks3-maths,Y7,ORD,Order of operations,"NUMERIC|SHORT_TEXT|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.10,ks3-maths,Y7,FAC,Multiples,"NUMERIC|SHORT_TEXT|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.11,ks3-maths,Y7,FAC,Factors,"NUMERIC|SHORT_TEXT|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.12,ks3-maths,Y7,FAC,Lowest common multiple,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.13,ks3-maths,Y7,FAC,Highest common factor,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.14,ks3-maths,Y7,MEA,Convert metric units,"NUMERIC|SHORT_TEXT|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.15,ks3-maths,Y7,MUL,Decimal multiplication decimal times integer,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.16,ks3-maths,Y7,MUL,Decimal multiplication decimal times decimal,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.17,ks3-maths,Y7,MUL,Multiply by 0.1 and 0.01,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.18,ks3-maths,Y7,MUL,Short division with remainders,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.19,ks3-maths,Y7,MUL,Short division with decimal answers,"NUMERIC","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.20,ks3-maths,Y7,MUL,Divide decimals,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.21,ks3-maths,Y7,ARE,Find missing lengths given area,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH"
N3.22,ks3-maths,Y7,STA,Solve problems using the mean,"NUMERIC|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.23,ks3-maths,Y7,SQR,Square and cube numbers roots,"NUMERIC|SHORT_TEXT|SINGLE_CHOICE","ONBOARDING|LEARN|RETEACH|RETAIN"
N3.24,ks3-maths,Y7,FAC,Introduction to primes,"TRUE_FALSE|SINGLE_CHOICE|SHORT_TEXT","ONBOARDING|LEARN|RETEACH|RETAIN"
